,Case,CC3,Country,Year,Banking Crisis ,Banking_Crisis_Notes,Systemic Crisis,Gold Standard,exch_usd,exch_usd_alt1,exch_usd_alt2,exch_usd_alt3,conversion_notes,national currency,exch_primary source code,exch_sources,Domestic_Debt_In_Default,Domestic_Debt_ Notes/Sources,"SOVEREIGN EXTERNAL DEBT 1: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom and post-1975 defaults on Official External Creditors","SOVEREIGN EXTERNAL DEBT 2: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom but includes post-1975 defaults on Official External Creditors",Defaults_External_Notes,GDP_Weighted_default,<,"Inflation, Annual percentages of average consumer prices",Independence,Currency Crises,Inflation Crises,Unnamed: 0,Unnamed: 0.1,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
516,30,IND,India,2006,0.0,,0.0,0.0,44.245,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1671-1834 multiple rupees and other currencies issued by East India Co. and French, 1835-present rupee",INXRXDE.,Primary source is US dollar level.,0.0,,0,0.0,,0,0.0,7.0,1,0,0.0,453.0,98.0,1281935911.0,Asia,India,IND,8721000.0,911.0,China,Hu Jintao,,India,New Delhi,2006-11-21,2006-11-21,"Hu Jintao held talks with Indian Prime Minister Manmohan Singh., Hu Jintao met with Chairman of the Upper House of Indian Parliament Bhairon Singh Shekhawat and Indian Speaker of House of the People Somnath Chatterjee., Hu Jintao met with Indian President Abdul Kalam.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Manmo Singh, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Bhairon Singh Shekhawat, Somnath Chatterjee, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Abdul Kalam",http://english.gov.cn/2006-11/22/content_449605.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=5544,2006.0
527,30,IND,India,2014,0.0,,0.0,0.0,63.3315,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1671-1834 multiple rupees and other currencies issued by East India Co. and French, 1835-present rupee",INXRXDE.,Primary source is US dollar level.,0.0,,0,0.0,,0,0.0,5.9,1,0,0.0,451.0,98.0,1281935911.0,Asia,India,IND,8721000.0,812.0,China,Xi Jinping,,India,New Delhi,2014-09-16,2014-09-19,"Xi starts India visit in Modi's home state, Chinese, Indian presidents pledge cooperation, Chinese president and his wife lay wreath to memorial of Mahatma Gandhi in India, Xi announces new aid for combating Ebola, Xi meets Indian vice president, China, India step up economic engagement despite border disputes, China to open new route for Indian pilgrims to Tibet, China, India should be partners for peace, development: Xi, Xi meets Sonia Gandhi, Manmohan Singh on China-India relations, Xi Jinping confers friendship award in India","Xi Jinping, Narendra Modi, Xi Jinping, Pranab Mukherjee, Xi Jinping, Mamid Ansari, Xi Jinping, Narendra Modi, Xi Jinping",http://news.xinhuanet.com/english/china/2014-09/19/c_133656854.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20711,2014.0
543,31,IDN,Indonesia,2013,0.0,,0.0,0.0,12189,12189.0,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1817-1949-Netherlands East Indies guilder, 1949-present-Rupiah",IDXRXDE.,Primary source is US dollar level; alt1 series is adjusted series US dollar level.,0.0,,0,0.0,,0,0.0,6.4,1,1,0.0,112.0,8.0,260580739.0,Asia,Indonesia,IDN,3028000.0,830.0,China,Xi Jinping,,Indonesia,Jakarta,2013-10-02,2013-10-03,"#China proposes establishing Asian infrastructure investment bank #Indonesia, Chinese, Indonesian presidents agree to lift ties to comprehensive strategic partnership, President Xi Jinping Visits a Photography Exhibition on Sino-Indonesian Friendship and Expects the Young People of the Two Countries to Build a Bridge of Friendship between the Chinese and Indonesian People #Chiha #Indonesia, Chinese president stresses peaceful solution to South #China Sea disputes, #China, #Indonesia call for efforts to maintain peace in South China Sea, #China, #Indonesia aim for 80 bln dollars in bilateral trade by 2015, Chinese, Indonesian presidents chart course of future bilateral cooperation #China #Indonesia","Xi Jinping, Susilo Bambang Yudhoyono, Xi Jinping, Susilo Bambang Yudhoyono, Xi Jinping, Susilo Bambang Yudhoyono, Xi Jinping, Susilo Bambang Yudhoyono",http://news.xinhuanet.com/english/china/2013-10/04/c_132771091.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=18142,2013.0
545,31,IDN,Indonesia,2015,,,0.0,0.0,13836,13781.75,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1817-1949-Netherlands East Indies guilder, 1949-present-Rupiah",IDXRXDE.,Primary source is US dollar level; alt1 series is adjusted series US dollar level.,0.0,,0,0.0,,0,0.0,6.4,1,0,0.0,110.0,8.0,260580739.0,Asia,Indonesia,IDN,3028000.0,807.0,China,Xi Jinping,,Indonesia,Jakarta,2015-04-21,2015-04-23,"Xi Jinping Arrives in Jakarta for Attendance of Asian-African Summit and Activities Commemorating the 60th Anniversary of the Bandung Conference, Chinese president arrives in Indonesia for Asian-African summit, Bandung commemorations, Xi urges to build new type of international relations on Bandung Spirit, Chinese president starts addressing Asian-African summit, China, Indonesia vow to further deepen comprehensive strategic partnership, Xi, Abe meet in Jakarta on China-Japan ties, China backs political solution to northern Myanmar issue, eyes boosted cooperation, China's proposal at Asian-African summit to benefit people on two continents: Indonesian envoy, Xi raises three-point proposal on carrying forward Bandung Spirit, China pledges support for Zimbabwe's development, China, Cambodia pledge closer cooperation under Belt and Road framework, Xi calls for fair, balanced, all-win Iranian nuclear deal","Xi Jinping, Joko Widodo, Xi Jinping, Shinzo Abe, Xi Jinping, Thein Sein U, Xi Jinping, Robert Mugabe, Xi Jinping, Hun Sen, Xi Jinping, Hassan Rouhani",http://news.xinhuanet.com/english/2015-04/23/c_134177935.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=22122,2015.0
575,33,ITA,Italy,2009,1.0,,1.0,0.0,0.69,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is US dollar ITL,0.0,,0,0.0,,0,0.0,0.8,1,0,0.0,821.0,141.0,62137802.0,Europe,Italy,ITA,2221000.0,874.0,China,Hu Jintao,,Italy,Rome,2009-07-06,2009-07-06,"Hu Jintao met with Italian Prime Minister Silvio Berlusconi., Hu Jintao met with Italian president Giorgio Napolitano.","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Silvio Berlusconi, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Giorgio Napolitano",http://news.xinhuanet.com/english/2009-07/06/content_11662515.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=7583,2009.0
584,33,ITA,Italy,2016,,,,0.0,0.8942,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is WM/Reuters daily,,,0,0.0,,0,,0.2,1,0,0.0,820.0,141.0,62137802.0,Europe,Italy,ITA,2221000.0,783.0,China,Xi Jinping,,Italy,Sardinia,2016-11-16,2016-11-16,"President Xi calls for aligning development strategies of China, Italy","Xi Jinping, Matteo Renzi",http://news.xinhuanet.com/english/2016-11/17/c_135836785.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=25663,2016.0
593,34,JPN,Japan,2008,0.0,,0.0,0.0,90.75,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-1868-Tael, 1869-present-Yen",JPXRXDE.,Primary source is US dollar level.,0.0,,0,0.0,,0,1.0,1.4,1,0,0.0,934.0,155.0,126451398.0,Asia,Japan,JPN,4932000.0,893.0,China,Hu Jintao,,Japan,,2008-05-07,2008-05-09,"Hu Jintao met with Japanese Emperor Akihito., Hu Jintao met with Japanese Prime Minister Yasuo Fukuda., Hu Jintao and Japanese Prime Minister Yasuo Fukuda signed a six-point Sino-Japanese joint statement., Hu Jintao met with Osaka Prefecture Governor Toru Hashimoto., Hu Jintao met with Kanagawa Prefecture Governor Shigefumi Matsuzawa and Hiroshi Nakada, mayor of Yokohama.","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Zhou Xiaochuan,  Akihito, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Zhou Shengxian, Yasuo Fukuda, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Zhou Shengxian, Yasuo Fukuda, Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Toru Hashimoto, Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Shigefumi Matsuzawa, Hiroshi Nakada",http://news.xinhuanet.com/english/2008-05/10/content_8138701.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=6641,2008.0
645,37,MYS,Malaysia,2009,0.0,,0.0,0.0,3.4245,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1903-1946-Straits Settlement dollar; 1963-67-dollar Malaya,1967-present ringgit",,Primary source is US dollar level.,0.0,,0,0.0,,0,0.0,0.6,1,0,0.0,878.0,148.0,31381992.0,Asia,Malaysia,MYS,863000.0,872.0,China,Hu Jintao,,Malaysia,Kuala Lumpur,2009-11-10,2009-11-11,"Hu Jintao met with Malaysian Supreme Head of State Mizan Abidin., Hu Jintao and Malaysian Prime Minister Najib Tun Razak met to discuss further development of the strategic and cooperative ties between China and Malaysia. 
","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Abidin Mizan, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Tun Razak Najib",http://news.xinhuanet.com/english/2009-11/11/content_12430106.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=7890,2009.0
649,37,MYS,Malaysia,2013,0.0,,0.0,0.0,3.294006494,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1903-1946-Straits Settlement dollar; 1963-67-dollar Malaya,1967-present ringgit",,Primary source is US dollar level.,0.0,,0,0.0,,0,0.0,2.1,1,0,0.0,877.0,148.0,31381992.0,Asia,Malaysia,MYS,863000.0,829.0,China,Xi Jinping,,Malaysia,Kuala Lumpur,2013-10-03,2013-10-04,"Chinese president arrives in Kuala Lumpur for state visit #China #Malaysia, Chinese president addresses #China-#Malaysia Economic Summit, Xi addresses welcoming luncheon hosted by overseas #Chinese in Kuala Lumpur #China, Welcoming ceremony held for visiting Chinese president in #Malaysia #China, #China ready to work with #Malaysia for more fruitful ties: Xi, Xi Jinping metets with Malaysian Prime Minister Najib Razak","Xi Jinping, Najib Razak, Xi Jinping, Abdul Halim, Xi Jinping, Abdul Halim, Xi Jinping, Najib Razak",http://news.xinhuanet.com/english/china/2013-10/04/c_132772103.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=18148,2013.0
661,38,MUS,Mauritius,2009,0.0,,0.0,0.0,30.2905,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century-British pound, 1878-present rupee",,Primary source is US dollar level.,0.0,,0,0.0,,0,0.0,2.5,1,0,0.0,989.0,,,Africa,Mauritius,,,879.0,China,Hu Jintao,,Mauritius,Port Louis,2009-02-17,2009-02-17,Hu Jintao met with Mauritian President Anerood Jugnauth and Prime Minister Navinchandra Ramgoolam.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Anerood Jugnauth, Navinchandra Ramgoolam",http://news.xinhuanet.com/english/2009-02/17/content_10835683.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=7263,2009.0
673,39,MEX,Mexico,2005,0.0,,0.0,0.0,10.7777,10.7777,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1535-1861-Spanish monetary system (reales, maravedis) with Mexican silver piaster or peso, 1861-1918-Mexican piaster or silver and gold pesos, 1918-present peso",,Primary source is US dollar level; alt1 series is US dollar level after adjusted.,0.0,,0,0.0,,0,0.0,4.0,1,0,0.0,204.0,27.0,124574795.0,North America,Mexico,MEX,2307000.0,929.0,China,Hu Jintao,,Mexico,Mexico City,2005-09-12,2005-09-12,"Hu Jintao held talks with Mexican President Vicente Fox.
","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vicente Fox",,http://www.chinavitae.com//vip/index.php?mode=show&id=4079,2005.0
684,39,MEX,Mexico,2013,0.0,,0.0,0.0,13.0765,13.0765,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1535-1861-Spanish monetary system (reales, maravedis) with Mexican silver piaster or peso, 1861-1918-Mexican piaster or silver and gold pesos, 1918-present peso",,Primary source is US dollar level; alt1 series is US dollar level after adjusted.,0.0,,0,0.0,,0,0.0,3.8,1,0,0.0,202.0,27.0,124574795.0,North America,Mexico,MEX,2307000.0,837.0,China,Xi Jinping,,Mexico,Mexico City,2013-06-04,2013-06-05,"Chinese, Mexican presidents discuss bilateral cooperation #China #Mexico , Chinese president awarded key to Mexico City #China #Mexico, Xi delivers speech on #China' ties with #Mexico, LatAm, Chinese president urges joint efforts to expand economic cooperation with #Mexico #China, Xi calls for more exchanges between Chinese, Mexican legislatures #China #Mexico","Xi Jinping, Enrique Pena Nieto, Xi Jinping, Miguel Mancera, Xi Jinping, Enrique Pena Nieto, Xi Jinping, Enrique Pena Nieto, Xi Jinping, Ricardo Anaya Cortes, Francisco Arroyo Vieyra",http://news.xinhuanet.com/english/china/2013-06/06/c_124818140.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17300,2013.0
694,40,MAR,Morocco,2006,0.0,,0.0,,8.4566,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"multiple foreign currencies, 1920-1959-Moroccan franc, 1959-present-Dirham",,Primary source is US dollar level.,0.0,,0,0.0,,0,0.0,3.3,1,0,0.0,953.0,162.0,33986655.0,Africa,Morocco,MAR,282800.0,918.0,China,Hu Jintao,,Morocco,Rabat,2006-04-24,2006-04-25,"Hu Jintao held talks with Moroccan King S. M. Le Roi Mohammed VI., Hu Jintao met with Moroccan Prime Minister Driss Jettou, Senate President Moustapha Okacha, and Chamber of Representatives President Abdeloughed Radi.
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, S. M. Le Roi Mohammed VI, Hu Jintao, Li Zhaoxing, Abdeloughed Radi, Driss Jettou, Moustapha Okacha",http://en.chinabroadcast.cn/811/2006/04/25/198@81396.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=4907,2006.0
734,42,NLD,Netherlands,2014,1.0,,1.0,0.0,0.82,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1694-1810 guilder, 1810-1816 French monetary system, 1816-1998 guilder, 1999-present euro",,Primary source is US dollar level.,0.0,,0,0.0,,0,0.0,0.3,1,0,0.0,729.0,130.0,17084719.0,Europe,Netherlands,NLD,870800.0,826.0,China,Xi Jinping,,Netherlands,The Hague,2014-03-22,2014-03-25,"Chinese president arrives in #Netherlands for state visit, nuclear summit #China, Chinese president arrives in #Netherlands for state visit, nuclear summit #China, Chinese, ROK presidents meet on cooperation, Korean Peninsula situation #South Korean #China, #China, #Netherlands to build open, pragmatic partnership, #China, #Netherlands to build open, pragmatic partnership, #China, #U.S. reaffirm commitment to promote new type of major-country ties, Chinese president meets #Dutch parliamentary leaders #China, Chinese president attends nuclear security summit #China #Dutch, Chinese president says his Europe visit aims for peace, cooperation #China #Dutch, Xi elaborates on #China's approach to nuclear security, #China willing to join #U.S. in promoting new model for major-country ties: Xi, Chinese president calls for fair, win-win system of global nuclear security #China #the Netherlands, Chinese president meets British PM on ties #China #Britain","Xi Jinping, Liyuan Peng,  Willem-Alexander,  Queen Maxima, Xi Jinping, Wang Yi, Geun-hye Park, Xi Jinping,  Willem-Alexander, Xi Jinping, Mark Rutte, Xi Jinping, Barack Obama, Xi Jinping, Ankie Broekers-Knol, Anouchka van Miltenburg, Xi Jinping, Barack Obama, Xi Jinping, David Cameron",http://news.xinhuanet.com/english/china/2014-03/25/c_133213327.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=19338,2014.0
750,43,NZL,New Zealand,2014,0.0,,0.0,0.0,1.277675748,1.277675748,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century-British monies, 1907-1967 NZ pound, 1967-present NZ dollar",,Primary source is US dollar level; alt1 series is US dollar adjusted.,0.0,,0,0.0,,0,0.0,1.2,1,0,0.0,755.0,136.0,4510327.0,Oceania,New Zealand,NZL,174800.0,810.0,China,Xi Jinping,,New Zealand,Wellington,2014-11-19,2014-11-20,"Chinese president arrives in New Zealand for state visit, President Xi, New Zealand's PM John Key hold talks in Wellington","Xi Jinping, Jerry Mateparae, John Key, Xi Jinping, John Key",http://news.xinhuanet.com/english/photo/2014-11/20/c_133803576.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=21210,2014.0
770,45,NGA,Nigeria,2002,0.0,,0.0,,126.4,126.4,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1907-1913 UK pound, 1913-1959 West Africa pound, 1959-1973 Nigerian pound, 1973-present naira",,Primary source is US dollar level; alt1 series is US dollar adjusted.,0.0,,0,0.0,,0,0.0,12.9,1,0,0.0,316.0,56.0,190632261.0,Africa,Nigeria,NGA,1089000.0,966.0,China,Jiang Zemin,,Nigeria,,2002-04-15,2002-04-15,"Tour in Europe,Africa,Iran",Nigerian President Olusegun Obasanjo,https://www.fmprc.gov.cn/mfa_eng//wjb_663304/zzjg_663340/fzs_663828/gjlb_663832/3059_664144/3061_664148/t16559.shtml,,2002.0
774,45,NGA,Nigeria,2006,0.0,,0.0,,128.27,128.27,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1907-1913 UK pound, 1913-1959 West Africa pound, 1959-1973 Nigerian pound, 1973-present naira",,Primary source is US dollar level; alt1 series is US dollar adjusted.,0.0,,0,0.0,,0,0.0,8.2,1,0,0.0,315.0,56.0,190632261.0,Africa,Nigeria,NGA,1089000.0,917.0,China,Hu Jintao,,Nigeria,Abuja,2006-04-26,2006-04-26,Hu Jintao held talks with Nigerian President Olusegun Obasanjo.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Olusegun Obasanjo",http://news.xinhuanet.com/english/2006-04/27/content_4479268.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=4908,2006.0
854,50,PHL,Philippines,2005,0.0,,0.0,0.0,53.067,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"16th century-1900-Spanish monetary system & Mexican piasters, 1900-1903 US dollar and gold peso, 1949-present Philippine peso ",,Primary source is US dollar level,0.0,,0,0.0,,0,0.0,6.6,1,0,0.0,871.0,147.0,104256076.0,Asia,Philippines,PHL,801900.0,935.0,China,Hu Jintao,,Philippines,Manila,2005-04-27,2005-04-27,"Hu Jintao met with Haruhiko Kuroda,  President of the Asian Development Bank (ADB). , Hu Jintao held talks with Philippine President Gloria Macapagal Arroyo.","Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Haruhiko Kuroda, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Gloria Macapagal Arroyo",,http://www.chinavitae.com//vip/index.php?mode=show&id=3508,2005.0
869,51,POL,Poland,2004,0.0,,0.0,0.0,2.9904,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1847-1914-Russian monies, 1914-1917-German mark, 1918-1924-marka, 1924-present-zloty",,Primary source is US dollar adjusted,0.0,,0,0.0,,0,0.0,3.5,1,0,0.0,599.0,113.0,38476269.0,Europe,Poland,POL,1052000.0,948.0,China,Hu Jintao,,Poland,Warsaw,2004-06-08,2004-06-09,"Hu Jintao and Polish President Aleksander Kwasniewski attended the signing ceremony of Sino-Polish Joint Communique., Hu Jintao met with Polish Senate Speaker Longin Hieronim Pastusiak., Hu Jintao met with Jozef Oleksy, speaker of the House of Representatives of Poland. , Hu Jintao met with Polish Prime Minister Marek Belka.","Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Aleksander Kwasniewski, Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Longin Hieronim Pastusiak, Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Jozef Oleksy, Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Marek Belka",,http://www.chinavitae.com//vip/index.php?mode=show&id=2115,2004.0
887,52,PRT,Portugal,2004,0.0,,0.0,0.0,0.73,0.517759138,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1722-1911-milreis, 1911-1998 escudo, 1999-present euro",,Primary source is PTE adjusted; alt1 series is pound/US dollar GBP; alt2 series is British pound level,0.0,,0,0.0,,0,0.0,2.5,1,0,0.0,739.0,131.0,10839514.0,Europe,Portugal,PRT,297100.0,944.0,China,Hu Jintao,,Portugal,Porto,2004-11-10,2004-11-10,"Hu Jintao met with Portuguese Prime Minister Pedro Santana Lopes, while on a stopover en route to his four-nation tour of Latin America. 
. ","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Pedro Santana Lopes",,http://www.chinavitae.com//vip/index.php?mode=show&id=2865,2004.0
893,52,PRT,Portugal,2010,1.0,,0.0,0.0,0.75,0.647179346,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1722-1911-milreis, 1911-1998 escudo, 1999-present euro",,Primary source is PTE adjusted; alt1 series is pound/US dollar GBP; alt2 series is British pound level,0.0,,0,0.0,,0,0.0,1.4,1,0,0.0,738.0,131.0,10839514.0,Europe,Portugal,PRT,297100.0,861.0,China,Hu Jintao,,Portugal,Lisbon,2010-11-06,2010-11-08,"Chinese president arrives in Lisbon for state visit, Chinese, Portuguese leaders talk on cooperation , Chinese president concludes Portugal trip, Chinese president hugs Portuguese cavalryman during visit, Chinese president concludes Portugal trip, Chinese president meets Portuguese PM on bilateral ties, New page in China-Portugal relations, China, Portugal pledge to step up strategic partnership","Hu Jintao, Anibal Cavaco Silva, Hu Jintao, Jose Socrates, Hu Jintao, Jose Socrates, Hu Jintao, Jose Socrates, Hu Jintao, Anibal Cavaco Silva, Hu Jintao, Jose Socrates",http://news.xinhuanet.com/english2010/china/2010-11/08/c_13596252.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=9283,2010.0
897,52,PRT,Portugal,2014,1.0,,0.0,0.0,0.82,0.607729627,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1722-1911-milreis, 1911-1998 escudo, 1999-present euro",,Primary source is PTE adjusted; alt1 series is pound/US dollar GBP; alt2 series is British pound level,0.0,,0,1.0,,0,1.0,-0.2,1,0,0.0,737.0,131.0,10839514.0,Europe,Portugal,PRT,297100.0,816.0,China,Xi Jinping,,Portugal,Terceira Island,2014-07-24,2014-07-24,China stands ready to deepen cooperation with Portugal: Xi,"Xi Jinping, Paulo Portas",http://news.xinhuanet.com/english/china/2014-07/24/c_133508818.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20319,2014.0
903,53,ROU,Romania,2004,0.0,,0.0,0.0,0,2.9067,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century Turkish monies, 1867-1947 first leu, 1947-1952 second leu, 1952-2005 third leu, 2005-present fourth leu",,Primary source is US dollar level; alt1 series is US dollar adjusted,0.0,,0,0.0,,0,0.0,11.9,1,0,0.0,619.0,117.0,21529967.0,Europe,Romania,ROU,441000.0,946.0,China,Hu Jintao,,Romania,Bucharest,2004-06-13,2004-06-14,"Hu Jintao held talks with Romanian President Ion Iliescu., Hu Jintao met with Romanian Prime Minister Adrian Nastase., Hu Jintao met with Romanian Chairman of Senate Nicolae Vacaroiu and Chairman of the Chamber of Deputies Valer Dorneanu. 
","Hu Jintao, Bo Xilai, Tang Jiaxuan, Ion Iliescu, Hu Jintao, Bo Xilai, Tang Jiaxuan, Adrian Nastase, Hu Jintao, Bo Xilai, Tang Jiaxuan, Nicolae Vacaroiu, Valer Dorneanu",,http://www.chinavitae.com//vip/index.php?mode=show&id=2136,2004.0
916,54,RUS,Russia,2001,0.0,,0.0,0.0,30.14,30.14,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1613-1921 first ruble (assignatzia co-circulated during 1769-1843), 1922 second ruble, 1923-1924 third ruble, 1924-1947 fourth (gold) ruble, 1947-1961 fifth ruble, 1961-1997 sixth ruble, 1998-present seventh ruble.",,Primary source is US dollar level; alt1 series is US dollar adjusted,0.0,,0,0.0,,0,0.0,21.5,1,0,1.0,169.0,18.0,142257519.0,Europe,Russia,RUS,3745000.0,974.0,China,Jiang Zemin,,Russia,"Moscov, Volgograd",2001-07-16,2001-07-17,"European Tour, singing a friendship pact",Vladimir Putin,https://www.nytimes.com/2001/07/17/world/russia-and-china-sign-friendship-pact.html,,2001.0
922,54,RUS,Russia,2005,0.0,,0.0,0.0,28.7825,28.7825,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1613-1921 first ruble (assignatzia co-circulated during 1769-1843), 1922 second ruble, 1923-1924 third ruble, 1924-1947 fourth (gold) ruble, 1947-1961 fifth ruble, 1961-1997 sixth ruble, 1998-present seventh ruble.",,Primary source is US dollar level; alt1 series is US dollar adjusted,0.0,,0,0.0,,0,0.0,12.7,1,0,0.0,166.0,18.0,142257519.0,Europe,Russia,RUS,3745000.0,933.0,China,Hu Jintao,,Russia,Novosibirsk,2005-06-30,2005-07-03,"Hu Jintao met with Russian President Vladimir Putin., Hu Jintao met with Sergei Mironov, chairman of the Federation Council of Russia., Hu Jintao and Russian President Vladimir Putin signed a joint statement on a new world order in the 21st century after their talks., Hu Jintao held talks with Russian Prime Minister Mikhail Fradkov., Hu Jintao met with Anatoliy Kvashnin, Russian President Vladimir Putin's representative in the Siberian Federal District and Viktor Tolokonsky, governor of Novosibirskaya Region.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vladimir Putin, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Sergei Mironov, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vladimir Putin, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Mikhail Fradkov, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Viktor Tolokonsky, Anatoliy Kvashnin",,http://www.chinavitae.com//vip/index.php?mode=show&id=3818,2005.0
