,Case,CC3,Country,Year,Banking Crisis ,Banking_Crisis_Notes,Systemic Crisis,Gold Standard,exch_usd,exch_usd_alt1,exch_usd_alt2,exch_usd_alt3,conversion_notes,national currency,exch_primary source code,exch_sources,Domestic_Debt_In_Default,Domestic_Debt_ Notes/Sources,"SOVEREIGN EXTERNAL DEBT 1: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom and post-1975 defaults on Official External Creditors","SOVEREIGN EXTERNAL DEBT 2: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom but includes post-1975 defaults on Official External Creditors",Defaults_External_Notes,GDP_Weighted_default,<,"Inflation, Annual percentages of average consumer prices",Independence,Currency Crises,Inflation Crises,Unnamed: 0,Unnamed: 0.1,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
354,22,FRA,France,2003,0,,0.00,0,0.7944,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"13th century-1795 livre tournois, 1795-1998 French franc 1999-present, euro",FRENFR$,Primary source is GFD market eop; alt1 series is RR-Pick's official eop; alt2 series is RR-Pick's parallel eop.,0,,0,0,,0,0,2.200,1,0,0,281,43,67106161,Europe,France,-99,2699000,674,Russia,Putin,,France,,1.6.2003,,President Vladimir Putin met with the Malaysian Prime Minister Mahathir Mohamad,,,http://en.kremlin.ru/events/president/trips/48869,2003
355,22,FRA,France,2003,0,,0.00,0,0.7944,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"13th century-1795 livre tournois, 1795-1998 French franc 1999-present, euro",FRENFR$,Primary source is GFD market eop; alt1 series is RR-Pick's official eop; alt2 series is RR-Pick's parallel eop.,0,,0,0,,0,0,2.200,1,0,0,282,43,67106161,Europe,France,-99,2699000,680,Russia,Putin,,France,,10.2.2003,,President Vladimir Putin began a three-day state visit to France,,,http://en.kremlin.ru/events/president/trips/45472,2003
357,22,FRA,France,2004,0,,0.00,0,0.7375,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"13th century-1795 livre tournois, 1795-1998 French franc 1999-present, euro",FRENFR$,Primary source is GFD market eop; alt1 series is RR-Pick's official eop; alt2 series is RR-Pick's parallel eop.,0,,0,0,,0,0,2.300,1,0,0,279,43,67106161,Europe,France,-99,2699000,657,Russia,Putin,,France,,6.6.2004,,"The importance of the USSR in the victory over fascism cannot be disputed, but Russia should also not doubt the importance of the alliesâ operations in opening the second front",,,http://en.kremlin.ru/events/president/trips/45523,2004
359,22,FRA,France,2006,0,,0.00,0,0.7574,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"13th century-1795 livre tournois, 1795-1998 French franc 1999-present, euro",FRENFR$,Primary source is GFD market eop; alt1 series is RR-Pick's official eop; alt2 series is RR-Pick's parallel eop.,0,,0,0,,0,0,1.900,1,0,0,278,43,67106161,Europe,France,-99,2699000,601,Russia,Putin,,France,,22.9.2006,,President Vladimir Putin and French President Jacques Chirac attended the official unveiling of a monument to the legendary Normandy-Neman Aviation Regiment,,,http://en.kremlin.ru/events/president/trips/45596,2006
360,22,FRA,France,2007,0,,0.00,0,0.6853,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"13th century-1795 livre tournois, 1795-1998 French franc 1999-present, euro",FRENFR$,Primary source is GFD market eop; alt1 series is RR-Pick's official eop; alt2 series is RR-Pick's parallel eop.,0,,0,0,,0,0,1.600,1,0,0,277,43,67106161,Europe,France,-99,2699000,582,Russia,Putin,,France,,23.5.2007,,High-level Russian-Austrian talks took place,,,http://en.kremlin.ru/events/president/trips/45659,2007
362,22,FRA,France,2008,1,,0.00,0,0.7151,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"13th century-1795 livre tournois, 1795-1998 French franc 1999-present, euro",FRENFR$,Primary source is GFD market eop; alt1 series is RR-Pick's official eop; alt2 series is RR-Pick's parallel eop.,0,,0,0,,0,1,3.200,1,0,0,276,43,67106161,Europe,France,-99,2699000,549,Russia,Dmitry Medvedev,,France,,8.10.2008,,Dmitry Medvedev addressed the World Policy Conference in Evian,,,http://en.kremlin.ru/events/president/trips/4561,2008
364,22,FRA,France,2010,1,,0.00,0,0.7473,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"13th century-1795 livre tournois, 1795-1998 French franc 1999-present, euro",FRENFR$,Primary source is GFD market eop; alt1 series is RR-Pick's official eop; alt2 series is RR-Pick's parallel eop.,0,,0,0,,0,0,1.700,1,0,0,273,43,67106161,Europe,France,-99,2699000,479,Russia,Dmitry Medvedev,,France,,18.10.2010,,Dmitry Medvedev arrived in Deauville to participate in Russian-German-French summit,,,http://en.kremlin.ru/events/president/trips/9314,2010
365,22,FRA,France,2010,1,,0.00,0,0.7473,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"13th century-1795 livre tournois, 1795-1998 French franc 1999-present, euro",FRENFR$,Primary source is GFD market eop; alt1 series is RR-Pick's official eop; alt2 series is RR-Pick's parallel eop.,0,,0,0,,0,0,1.700,1,0,0,274,43,67106161,Europe,France,-99,2699000,506,Russia,Dmitry Medvedev,,France,,1.3.2010,,Russian-French summit talks took place during Dmitry Medvedev's state visit to France,,,http://en.kremlin.ru/events/president/trips/7012,2010
367,22,FRA,France,2012,1,,0.00,0,0.7577,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"13th century-1795 livre tournois, 1795-1998 French franc 1999-present, euro",FRENFR$,Primary source is GFD market eop; alt1 series is RR-Pick's official eop; alt2 series is RR-Pick's parallel eop.,0,,0,0,,0,0,2.200,1,0,0,270,43,67106161,Europe,France,-99,2699000,444,Russia,Putin,,France,,1.6.2012,,Working visit to France,,,http://en.kremlin.ru/events/president/trips/15527,2012
370,22,FRA,France,2014,1,,0.00,0,0.8264,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"13th century-1795 livre tournois, 1795-1998 French franc 1999-present, euro",FRENFR$,Primary source is GFD market eop; alt1 series is RR-Pick's official eop; alt2 series is RR-Pick's parallel eop.,0,,0,0,,0,0,0.600,1,0,0,269,43,67106161,Europe,France,-99,2699000,408,Russia,Putin,,France,,5.6.2014,,Meeting with Prime Minister of the United Kingdom David Cameron,,,http://en.kremlin.ru/events/president/trips/45871,2014
371,22,FRA,France,2015,,,0.00,0,0.9207,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"13th century-1795 livre tournois, 1795-1998 French franc 1999-present, euro",FRENFR$,Primary source is GFD market eop; alt1 series is RR-Pick's official eop; alt2 series is RR-Pick's parallel eop.,0,,0,0,,0,,0.100,1,0,0,268,43,67106161,Europe,France,-99,2699000,379,Russia,Putin,,France,,2.10.2015,,Vladimir Putin has arrived in Paris,,,http://en.kremlin.ru/events/president/trips/50425,2015
374,23,DEU,Germany,2001,0,,0.00,0,1.13,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,1,1.900,1,0,0,666,121,80594017,Europe,Germany,DEU,3979000,703,Russia,Putin,,Germany,,9.12.2001,,Vladimir Putin met with German Federal Chancellor Gerhard Schroeder,,,http://en.kremlin.ru/events/president/trips/45723,2001
375,23,DEU,Germany,2001,0,,0.00,0,1.13,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,1,1.900,1,0,0,667,121,80594017,Europe,Germany,DEU,3979000,710,Russia,Putin,,Germany,,22.9.2001,,The German newspaper Bild and Focus Magazine published interviews with President Vladimir Putin,,,http://en.kremlin.ru/events/president/trips/48852,2001
378,23,DEU,Germany,2003,0,,0.00,0,0.79,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,1.000,1,0,0,665,121,80594017,Europe,Germany,DEU,3979000,681,Russia,Putin,,Germany,,9.2.2003,,Russian President Vladimir Putin attended the opening of a series of 2003â2004 Russian-German Culture Encounters,,,http://en.kremlin.ru/events/president/trips/45471,2003
379,23,DEU,Germany,2004,0,,0.00,0,0.73,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,1.800,1,0,0,664,121,80594017,Europe,Germany,DEU,3979000,638,Russia,Putin,,Germany,,20.12.2004,,President Putin arrived in Hamburg to take part in Russian-German high-level intergovernmental consultations,,,http://en.kremlin.ru/events/president/trips/45546,2004
381,23,DEU,Germany,2005,0,,0.00,0,0.85,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,1.900,1,1,0,662,121,80594017,Europe,Germany,DEU,3979000,625,Russia,Putin,,Germany,,8.9.2005,,President Vladimir Putin met with German Federal Chancellor Gerhard Schroeder,,,http://en.kremlin.ru/events/president/trips/45562,2005
382,23,DEU,Germany,2005,0,,0.00,0,0.85,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,1.900,1,1,0,663,121,80594017,Europe,Germany,DEU,3979000,632,Russia,Putin,,Germany,,10.4.2005,,Vladimir Putin arrived in Hannover for a two-day working visit,,,http://en.kremlin.ru/events/president/trips/45554,2005
385,23,DEU,Germany,2006,0,,0.00,0,0.76,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,1.800,1,0,0,661,121,80594017,Europe,Germany,DEU,3979000,600,Russia,Putin,,Germany,,10.10.2006,,Vladimir Putin arrived in Germany for a working visit,,,http://en.kremlin.ru/events/president/trips/45599,2006
386,23,DEU,Germany,2007,0,,1.00,0,0.68,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,2.300,1,0,0,658,121,80594017,Europe,Germany,DEU,3979000,569,Russia,Putin,,Germany,,15.10.2007,,President Vladimir Putin and German Chancellor Angela Merkel took part in the closing session of the Petersburg Dialogue Civic Forum,,,http://en.kremlin.ru/events/president/trips/45736,2007
387,23,DEU,Germany,2007,0,,1.00,0,0.68,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,2.300,1,0,0,660,121,80594017,Europe,Germany,DEU,3979000,591,Russia,Putin,,Germany,,10.2.2007,,Vladimir Putin arrived in Germany on a working visit,,,http://en.kremlin.ru/events/president/trips/45613,2007
389,23,DEU,Germany,2008,1,,1.00,0,0.72,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,1,2.700,1,0,0,657,121,80594017,Europe,Germany,DEU,3979000,558,Russia,Dmitry Medvedev,,Germany,,5.6.2008,,Dmitry Medvedev held talks with Federal Chancellor of Germany Angela Merkel,,,http://en.kremlin.ru/events/president/trips/4553,2008
391,23,DEU,Germany,2009,1,,1.00,0,0.69,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,0.200,1,0,0,654,121,80594017,Europe,Germany,DEU,3979000,514,Russia,Dmitry Medvedev,,Germany,,9.11.2009,,Dmitry Medvedev met with President of France Nicolas Sarkozy,,,http://en.kremlin.ru/events/president/trips/5960,2009
392,23,DEU,Germany,2009,1,,1.00,0,0.69,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,0.200,1,0,0,655,121,80594017,Europe,Germany,DEU,3979000,524,Russia,Dmitry Medvedev,,Germany,,16.7.2009,,High-level Russian-German intergovernmental consultations took place in Munich.,,,http://en.kremlin.ru/events/president/trips/4841,2009
393,23,DEU,Germany,2009,1,,1.00,0,0.69,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,0.200,1,0,0,656,121,80594017,Europe,Germany,DEU,3979000,534,Russia,Dmitry Medvedev,,Germany,,31.3.2009,,Dmitry Medvedev and Federal Chancellor of Germany Angela Merkel met with representatives of German business circles,,,http://en.kremlin.ru/events/president/trips/4575,2009
394,23,DEU,Germany,2010,1,,1.00,0,0.75,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,1.200,1,0,0,653,121,80594017,Europe,Germany,DEU,3979000,493,Russia,Dmitry Medvedev,,Germany,,4.6.2010,,Dmitry Medvedev arrived to Germany on a working visit,,,http://en.kremlin.ru/events/president/trips/7974,2010
395,23,DEU,Germany,2011,0,,0.00,0,0.77,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,2.500,1,0,0,651,121,80594017,Europe,Germany,DEU,3979000,452,Russia,Dmitry Medvedev,,Germany,,8.11.2011,,Meeting with President of the Federal Republic of Germany Christian Wulff,,,http://en.kremlin.ru/events/president/trips/13436,2011
396,23,DEU,Germany,2011,0,,0.00,0,0.77,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,2.500,1,0,0,652,121,80594017,Europe,Germany,DEU,3979000,457,Russia,Dmitry Medvedev,,Germany,,18.7.2011,,Dmitry Medvedev arrived in Hannover,,,http://en.kremlin.ru/events/president/trips/12025,2011
397,23,DEU,Germany,2012,0,,0.00,0,0.76,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,2.100,1,0,0,650,121,80594017,Europe,Germany,DEU,3979000,445,Russia,Putin,,Germany,,1.6.2012,,Working visit to Germany,,,http://en.kremlin.ru/events/president/trips/15526,2012
399,23,DEU,Germany,2013,0,,0.00,0,0.73,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0,,0,0,,0,0,1.600,1,0,0,649,121,80594017,Europe,Germany,DEU,3979000,427,Russia,Putin,,Germany,,7.4.2013,,Vladimir Putin took part in the opening of the annual Hannover Messe,,,http://en.kremlin.ru/events/president/trips/17845,2013
410,23,DEU,Germany,2016,,,0.00,0,0.8942,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is WM/Reuters daily,,,0,0,,0,,0.500,1,0,0,648,121,80594017,Europe,Germany,DEU,3979000,359,Russia,Putin,,Germany,,19.10.2016,,Vladimir Putin arrives in Berlin,,,http://en.kremlin.ru/events/president/trips/53129,2016
427,25,GRC,Greece,2001,0,,0.00,0,1.13,1.1231,1.1231,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-Turkish monies, 1828-1838-phoenix, 1838-1999 drachma, 2000-present euro",GREDRA$,Primary source is US dollar level; alt1 series is adjusted series US dollar level-eop; alt2 series is IFS-euro since 2001 level-eop.,0,,0,0,,0,1,3.400,1,1,0,680,123,10768477,Europe,Greece,GRC,290500,704,Russia,Putin,,Greece,,6.12.2001,,President Vladimir Putin held negotiations with Greek President Konstantinos Stephanopoulos,,,http://en.kremlin.ru/events/president/trips/45564,2001
432,25,GRC,Greece,2006,0,,0.00,0,0.76,0.7574,0.7574,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-Turkish monies, 1828-1838-phoenix, 1838-1999 drachma, 2000-present euro",GREDRA$,Primary source is US dollar level; alt1 series is adjusted series US dollar level-eop; alt2 series is IFS-euro since 2001 level-eop.,0,,0,0,,0,0,3.200,1,0,0,679,123,10768477,Europe,Greece,GRC,290500,604,Russia,Putin,,Greece,,4.9.2006,,President Vladimir Putin met with Greek Prime Minister Kostas Karamanlis,,,http://en.kremlin.ru/events/president/trips/45592,2006
433,25,GRC,Greece,2007,0,,0.00,0,0.68,0.6853,0.6853,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-Turkish monies, 1828-1838-phoenix, 1838-1999 drachma, 2000-present euro",GREDRA$,Primary source is US dollar level; alt1 series is adjusted series US dollar level-eop; alt2 series is IFS-euro since 2001 level-eop.,0,,0,0,,0,0,2.900,1,0,0,678,123,10768477,Europe,Greece,GRC,290500,586,Russia,Putin,,Greece,,15.3.2007,,"Russian President Vladimir Putin, Greek Prime Minister Konstantinos Karamanlis and Bulgarian Prime Minister Sergei Stanishev discussed the realisation of the Burgas â Alexandroupolis project",,,http://en.kremlin.ru/events/president/trips/45624,2007
443,25,GRC,Greece,2016,,,1.00,0,0.8942,0.9,0.9,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-Turkish monies, 1828-1838-phoenix, 1838-1999 drachma, 2000-present euro",GREDRA$,Primary source is WM/Reuters daily,,,0,1,,0,,0.000,1,0,0,677,123,10768477,Europe,Greece,GRC,290500,373,Russia,Putin,,Greece,,27.5.2016,,Meeting with Greek President Prokopis Pavlopoulos,,,http://en.kremlin.ru/events/president/trips/52034,2016
451,26,GTM,Guatemala,2007,0,,0.00,0,7.63082,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1823-1847-Central American peso, 1847-1925-Guatemala peso, 1925-present-quetzal",GWXRXDE.,Primary source is US dollar level.,0,,0,0,,0,,6.800,1,0,0,242,38,15460732,North America,Guatemala,GTM,131800,577,Russia,Putin,,Guatemala,,3.7.2007,,Vladimir Putin met with the President of the International Olympic Committee Jacques Rogge,,,http://en.kremlin.ru/events/president/trips/45693,2007
483,28,HUN ,Hungary,2006,0,,0.00,0,191.62,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century-gulden, 1920-1925-Korona, 1925-1946-Pengoe,1946-present-forint",HNXRXDE.,Primary source is US dollar level.,0,,0,0,,0,0,3.900,1,0,0,611,115,9850845,Europe,Hungary,HUN,267600,612,Russia,Putin,,Hungary,,28.2.2006,,Vladimir Putin held talks with Hungarian President Laszlo Solyom,,,http://en.kremlin.ru/events/president/trips/45582,2006
492,28,HUN ,Hungary,2015,,,1.00,0,286.63,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century-gulden, 1920-1925-Korona, 1925-1946-Pengoe,1946-present-forint",HNXRXDE.,Primary source is US dollar level.,0,,0,0,,0,0,-0.100,1,1,0,610,115,9850845,Europe,Hungary,HUN,267600,387,Russia,Putin,,Hungary,,17.2.2015,,Working visit to Hungary,,,http://en.kremlin.ru/events/president/trips/47707,2015
511,30,IND,India,2002,0,,0.00,0,48.03,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1671-1834 multiple rupees and other currencies issued by East India Co. and French, 1835-present rupee",INXRXDE.,Primary source is US dollar level.,0,,0,0,,0,0,4.000,1,0,0,448,98,1281935911,Asia,India,IND,8721000,686,Russia,Putin,,India,,3.12.2002,,President Vladimir Putin met with Indian Prime Minister Atal Bihari Vajpayee,,,http://en.kremlin.ru/events/president/trips/45467,2002
513,30,IND,India,2004,0,,0.00,0,43.585,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1671-1834 multiple rupees and other currencies issued by East India Co. and French, 1835-present rupee",INXRXDE.,Primary source is US dollar level.,0,,0,0,,0,0,3.800,1,0,0,447,98,1281935911,Asia,India,IND,8721000,640,Russia,Putin,,India,,3.12.2004,,President Vladimir Putin met with Indian Foreign Minister Kanwar Natwar Singh,,,http://en.kremlin.ru/events/president/trips/45543,2004
517,30,IND,India,2007,0,,0.00,0,39.415,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1671-1834 multiple rupees and other currencies issued by East India Co. and French, 1835-present rupee",INXRXDE.,Primary source is US dollar level.,0,,0,0,,0,0,5.900,1,0,0,446,98,1281935911,Asia,India,IND,8721000,592,Russia,Putin,,India,,25.1.2007,,Vladimir Putin held talks with Indian Prime Minister Manmohan Singh,,,http://en.kremlin.ru/events/president/trips/45609,2007
518,30,IND,India,2008,0,,0.00,0,48.455,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1671-1834 multiple rupees and other currencies issued by East India Co. and French, 1835-present rupee",INXRXDE.,Primary source is US dollar level.,0,,0,0,,0,1,9.200,1,1,0,445,98,1281935911,Asia,India,IND,8721000,539,Russia,Dmitry Medvedev,,India,,4.12.2008,,Dmitry Medvedev met with Prime Minister of India Manmohan Singh,,,http://en.kremlin.ru/events/president/trips/4572,2008
521,30,IND,India,2010,0,,0.00,0,44.81,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1671-1834 multiple rupees and other currencies issued by East India Co. and French, 1835-present rupee",INXRXDE.,Primary source is US dollar level.,0,,0,0,,0,0,9.500,1,0,0,444,98,1281935911,Asia,India,IND,8721000,468,Russia,Dmitry Medvedev,,India,,21.12.2010,,Official visit to India,,,http://en.kremlin.ru/events/president/trips/9869,2010
523,30,IND,India,2012,0,,0.00,0,54.7773,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1671-1834 multiple rupees and other currencies issued by East India Co. and French, 1835-present rupee",INXRXDE.,Primary source is US dollar level.,0,,0,0,,0,0,9.900,1,0,0,442,98,1281935911,Asia,India,IND,8721000,429,Russia,Putin,,India,,24.12.2012,,Official visit to India,,,http://en.kremlin.ru/events/president/trips/17186,2012
524,30,IND,India,2012,0,,0.00,0,54.7773,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1671-1834 multiple rupees and other currencies issued by East India Co. and French, 1835-present rupee",INXRXDE.,Primary source is US dollar level.,0,,0,0,,0,0,9.900,1,0,0,443,98,1281935911,Asia,India,IND,8721000,447,Russia,Dmitry Medvedev,,India,,28.3.2012,,Meeting with President of South Africa Jacob Zuma,,,http://en.kremlin.ru/events/president/trips/14872,2012
526,30,IND,India,2014,0,,0.00,0,63.3315,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1671-1834 multiple rupees and other currencies issued by East India Co. and French, 1835-present rupee",INXRXDE.,Primary source is US dollar level.,0,,0,0,,0,0,5.900,1,0,0,441,98,1281935911,Asia,India,IND,8721000,390,Russia,Putin,,India,,11.12.2014,,Russian-Indian talks,,,http://en.kremlin.ru/events/president/trips/47231,2014
529,30,IND,India,2016,,,0.00,0,67.17,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1671-1834 multiple rupees and other currencies issued by East India Co. and French, 1835-present rupee",INXRXDE.,Primary source is Oxford Economics eop ,,,0,0,,0,,5.300,1,0,0,440,98,1281935911,Asia,India,IND,8721000,360,Russia,Putin,,India,,15.10.2016,,Speech at Russian-Indian expanded format talks,,,http://en.kremlin.ru/events/president/trips/53117,2016
536,31,IDN,Indonesia,2007,0,,0.00,0,9419,9419,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1817-1949-Netherlands East Indies guilder, 1949-present-Rupiah",IDXRXDE.,Primary source is US dollar level; alt1 series is adjusted series US dollar level.,0,,0,0,,0,0,6.700,1,0,0,109,8,260580739,Asia,Indonesia,IDN,3028000,576,Russia,Putin,,Indonesia,,6.9.2007,,President Vladimir Putin has arrived in Indonesia for a state visit,,,http://en.kremlin.ru/events/president/trips/45728,2007
542,31,IDN,Indonesia,2013,0,,0.00,0,12189,12189,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1817-1949-Netherlands East Indies guilder, 1949-present-Rupiah",IDXRXDE.,Primary source is US dollar level; alt1 series is adjusted series US dollar level.,0,,0,0,,0,0,6.400,1,1,0,108,8,260580739,Asia,Indonesia,IDN,3028000,418,Russia,Putin,,Indonesia,,7.10.2013,,Meeting with President of Indonesia Susilo Bambang Yudhoyono,,,http://en.kremlin.ru/events/president/trips/19383,2013
563,33,ITA,Italy,2001,0,,0.00,0,1.13,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is US dollar ITL,0,,0,0,,0,1,2.300,1,0,0,818,141,62137802,Europe,Italy,ITA,2221000,716,Russia,Putin,,Italy,,16.7.2001,,President Vladimir Putin was interviewed by the Italian media,,,http://en.kremlin.ru/events/president/trips/48855,2001
565,33,ITA,Italy,2003,0,,0.00,0,0.79,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is US dollar ITL,0,,0,0,,0,0,2.800,1,0,0,816,141,62137802,Europe,Italy,ITA,2221000,670,Russia,Putin,,Italy,,29.8.2003,,President Vladimir Putin arrived in Italy,,,http://en.kremlin.ru/events/president/trips/45497,2003
570,33,ITA,Italy,2007,0,,0.00,0,0.68,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is US dollar ITL,0,,0,0,,0,0,2.000,1,0,0,813,141,62137802,Europe,Italy,ITA,2221000,587,Russia,Putin,,Italy,,13.3.2007,,During his working visit to Italy Vladimir Putin met with President of the Republic of Italy Giorgio Napolitano and Italian Prime Minister Romano Prodi,,,http://en.kremlin.ru/events/president/trips/45623,2007
572,33,ITA,Italy,2008,1,,1.00,0,0.72,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is US dollar ITL,0,,0,0,,0,1,3.500,1,0,0,812,141,62137802,Europe,Italy,ITA,2221000,561,Russia,Putin,,Italy,,17.4.2008,,Vladimir Putin arrived in Italy,,,http://en.kremlin.ru/events/president/trips/45770,2008
573,33,ITA,Italy,2009,1,,1.00,0,0.69,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is US dollar ITL,0,,0,0,,0,0,0.800,1,0,0,809,141,62137802,Europe,Italy,ITA,2221000,510,Russia,Dmitry Medvedev,,Italy,,3.12.2009,,Russian-Italian interstate consultations took place,,,http://en.kremlin.ru/events/president/trips/6246,2009
