Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link
325,Russia,Putin,,Belarus,,12.10.2018,,Meeting with President of Belarus Alexander Lukashenko,,,http://en.kremlin.ru/events/president/trips/58811
326,Russia,Putin,,India,,4.10.2018,,Vladimir Putin arrived in New Delhi,,,http://en.kremlin.ru/events/president/trips/58747
327,Russia,Putin,,Tajikistan,,27.9.2018,,Vladimir Putin arrived in Dushanbe,,,http://en.kremlin.ru/events/president/trips/58652
328,Russia,Putin,,Azerbaijan,,27.9.2018,,Vladimir Putin arrived in Azerbaijan,,,http://en.kremlin.ru/events/president/trips/58651
329,Russia,Putin,,Iran,,7.9.2018,,Meeting with President of Turkey Recep Tayyip Erdogan,,,http://en.kremlin.ru/events/president/trips/58493
330,Russia,Putin,,Kazakhstan,,12.8.2018,,Vladimir Putin arrived in Kazakhstan,,,http://en.kremlin.ru/events/president/trips/58300
331,Russia,Putin,,South Africa,,26.7.2018,,Vladimir Putin arrived in South Africa to attend the 10th BRICS Summit,,,http://en.kremlin.ru/events/president/trips/58120
332,Russia,Putin,,Finland,,16.7.2018,,Russia-US summit,,,http://en.kremlin.ru/events/president/trips/58021
333,Russia,Putin,,Belarus,,19.6.2018,,Vladimir Putin arrived in Belarus,,,http://en.kremlin.ru/events/president/trips/57821
334,Russia,Putin,,China,,8.6.2018,,Vladimir Putin arrived in China,,,http://en.kremlin.ru/events/president/trips/57722
335,Russia,Putin,,Austria,,5.6.2018,,Vladimir Putin arrived in Austria,,,http://en.kremlin.ru/events/president/trips/57687
336,Russia,Putin,,Turkey,,3.4.2018,,Vladimir Putin arrived in Ankara,,,http://en.kremlin.ru/events/president/trips/57203
337,Russia,Putin,,Turkey,,11.12.2017,,Russian-Turkish talks,,,http://en.kremlin.ru/events/president/trips/56364
338,Russia,Putin,,Egypt,,11.12.2017,,Vladimir Putin arrived on working visit in Egypt,,,http://en.kremlin.ru/events/president/trips/56360
339,Russia,Putin,,Syria,,11.12.2017,,Vladimir Putin visited Khmeimim Air Base in Syria,,,http://en.kremlin.ru/events/president/trips/56365
340,Russia,Putin,,Belarus,,30.11.2017,,The President of Russia arrived in Minsk for a CSTO Collective Security Council meeting,,,http://en.kremlin.ru/events/president/trips/56265
341,Russia,Putin,,Vietnam,,10.11.2017,,Meeting with President of the Philippines Rodrigo Duterte,,,http://en.kremlin.ru/events/president/trips/56051
342,Russia,Putin,,Iran,,1.11.2017,,Vladimir Putin arrived in Tehran,,,http://en.kremlin.ru/events/president/trips/55998
343,Russia,Putin,,Turkmenistan,,2.10.2017,,Vladimir Putin arrives in Turkmenistan,,,http://en.kremlin.ru/events/president/trips/55764
344,Russia,Putin,,Turkey,,28.9.2017,,Russian-Turkish talks,,,http://en.kremlin.ru/events/president/trips/55730
345,Russia,Putin,,China,,3.9.2017,,Talks with President of China Xi Jinping,,,http://en.kremlin.ru/events/president/trips/55559
346,Russia,Putin,,Hungary,,28.8.2017,,Vladimir Putin arrived in Hungary,,,http://en.kremlin.ru/events/president/trips/55484
347,Russia,Putin,,Finland,,27.7.2017,,Vladimir Putin arrived in Finland,,,http://en.kremlin.ru/events/president/trips/55184
348,Russia,Putin,,Germany,,7.7.2017,,BRICS Leaders’ Meeting,,,http://en.kremlin.ru/events/president/trips/55019
349,Russia,Putin,,Kazakhstan,,8.6.2017,,Vladimir Putin arrived in Astana,,,http://en.kremlin.ru/events/president/trips/54749
350,Russia,Putin,,France,,29.5.2017,,Vladimir Putin has arrived in Paris,,,http://en.kremlin.ru/events/president/trips/54623
351,Russia,Putin,,China,,14.5.2017,,Belt and Road international forum,,,http://en.kremlin.ru/events/president/trips/54504
352,Russia,Putin,,Kyrgyzstan,,14.4.2017,,Meeting of the Supreme Eurasian Economic Council,,,http://en.kremlin.ru/events/president/trips/54299
353,Russia,Putin,,Kyrgyzstan,,28.2.2017,,Russian-Kyrgyzstani talks,,,http://en.kremlin.ru/events/president/trips/53970
354,Russia,Putin,,Tajikistan,,27.2.2017,,Russian-Tajikistani talks,,,http://en.kremlin.ru/events/president/trips/53957
355,Russia,Putin,,Kazakhstan,,27.2.2017,,Meeting with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/53956
356,Russia,Putin,,Hungary,,2.2.2017,,Joint news conference with Hungarian Prime Minister Viktor Orban,,,http://en.kremlin.ru/events/president/trips/53807
357,Russia,Putin,,Japan,,15.12.2016,,Meeting with Japanese Prime Minister Shinzo Abe,,,http://en.kremlin.ru/events/president/trips/53488
358,Russia,Putin,,Peru,,19.11.2016,,Vladimir Putin arrived in Peru to take part in the APEC Leaders’ Meeting,,,http://en.kremlin.ru/events/president/trips/53285
359,Russia,Putin,,Germany,,19.10.2016,,Vladimir Putin arrives in Berlin,,,http://en.kremlin.ru/events/president/trips/53129
360,Russia,Putin,,India,,15.10.2016,,Speech at Russian-Indian expanded format talks,,,http://en.kremlin.ru/events/president/trips/53117
361,Russia,Putin,,Armenia,,14.10.2016,,Vladimir Putin arrived in Yerevan,,,http://en.kremlin.ru/events/president/trips/53123
362,Russia,Putin,,Turkey,,10.10.2016,,World Energy Congress in Istanbul,,,http://en.kremlin.ru/events/president/trips/53074
363,Russia,Putin,,Kazakhstan,,4.10.2016,,Meeting with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/53022
364,Russia,Putin,,Kyrgyzstan,,16.9.2016,,Meeting of CIS Council of Heads of State,,,http://en.kremlin.ru/events/president/trips/52917
365,Russia,Putin,,China,,3.9.2016,,Vladimir Putin arrived in China,,,http://en.kremlin.ru/events/president/trips/52836
366,Russia,Putin,,Azerbaijan,,8.8.2016,,"Vladimir Putin has arrived in Baku to take part in a meeting of the presidents of Azerbaijan, Iran and Russia",,,http://en.kremlin.ru/events/president/trips/52668
367,Russia,Putin,,Slovenia,,30.7.2016,,100th anniversary of Russian chapel at Vršič Pass,,,http://en.kremlin.ru/events/president/trips/52628
368,Russia,Putin,,Finland,,1.7.2016,,Press statements and answers to journalists’ questions following Russian-Finnish talks,,,http://en.kremlin.ru/events/president/trips/52313
369,Russia,Putin,,China,,24.6.2016,,Vladimir Putin has arrived in China,,,http://en.kremlin.ru/events/president/trips/52277
370,Russia,Putin,,Uzbekistan,,23.6.2016,,Meeting with Chinese President Xi Jinping and President of Mongolia Tsakhiagiin Elbegdorj,,,http://en.kremlin.ru/events/president/trips/52266
371,Russia,Putin,,Belarus,,8.6.2016,,Russian-Belarusian talks,,,http://en.kremlin.ru/events/president/trips/52131
372,Russia,Putin,,Kazakhstan,,30.5.2016,,Vladimir Putin arrived in Astana,,,http://en.kremlin.ru/events/president/trips/52057
373,Russia,Putin,,Greece,,27.5.2016,,Meeting with Greek President Prokopis Pavlopoulos,,,http://en.kremlin.ru/events/president/trips/52034
374,Russia,Putin,,Belarus,,25.2.2016,,Meeting with President of Belarus Alexander Lukashenko,,,http://en.kremlin.ru/events/president/trips/51393
375,Russia,Putin,,France,,30.11.2015,,Conference of the Parties to the UN Framework Convention on Climate Change,,,http://en.kremlin.ru/events/president/trips/50859
376,Russia,Putin,,Iran,,23.11.2015,,Talks with Supreme Leader of Iran Ali Khamenei,,,http://en.kremlin.ru/events/president/trips/50772
377,Russia,Putin,,Turkey,,15.11.2015,,Informal meeting of BRICS leaders,,,http://en.kremlin.ru/events/president/trips/50705
378,Russia,Putin,,Kazakhstan,,14.10.2015,,Vladimir Putin arrived in Astana,,,http://en.kremlin.ru/events/president/trips/50520
379,Russia,Putin,,France,,2.10.2015,,Vladimir Putin has arrived in Paris,,,http://en.kremlin.ru/events/president/trips/50425
380,Russia,Putin,,United States of America,,28.9.2015,,70th session of the UN General Assembly,,,http://en.kremlin.ru/events/president/trips/50395
381,Russia,Putin,,Tajikistan,,14.9.2015,,Vladimir Putin arrived in Tajikistan,,,http://en.kremlin.ru/events/president/trips/50294
382,Russia,Putin,,China,,2.9.2015,,Vladimir Putin arrived in Beijing,,,http://en.kremlin.ru/events/president/trips/50244
383,Russia,Putin,,Azerbaijan,,12.6.2015,,Opening ceremony of the First European Games,,,http://en.kremlin.ru/events/president/trips/49703
384,Russia,Putin,,Italy,,10.6.2015,,Opening of Russia Day at Expo 2015,,,http://en.kremlin.ru/events/president/trips/49691
385,Russia,Putin,,Armenia,,24.4.2015,,Vladimir Putin arrived in Yerevan,,,http://en.kremlin.ru/events/president/trips/49338
386,Russia,Putin,,Kazakhstan,,20.3.2015,,Meeting with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/49015
387,Russia,Putin,,Hungary,,17.2.2015,,Working visit to Hungary,,,http://en.kremlin.ru/events/president/trips/47707
388,Russia,Putin,,Belarus,,12.2.2015,,Normandy format talks,,,http://en.kremlin.ru/events/president/trips/47698
389,Russia,Putin,,Egypt,,9.2.2015,,Vladimir Putin arrived in Egypt on an official visit,,,http://en.kremlin.ru/events/president/trips/47656
390,Russia,Putin,,India,,11.12.2014,,Russian-Indian talks,,,http://en.kremlin.ru/events/president/trips/47231
391,Russia,Putin,,Uzbekistan,,10.12.2014,,Russian-Uzbekistani talks,,,http://en.kremlin.ru/events/president/trips/47218
392,Russia,Putin,,Turkey,,1.12.2014,,Meeting with President of Turkey Recep Tayyip Erdogan,,,http://en.kremlin.ru/events/president/trips/47133
393,Russia,Putin,,Australia,,14.11.2014,,Interview to TASS News Agency,,,http://en.kremlin.ru/events/president/trips/47028
394,Russia,Putin,,China,,9.11.2014,,Vladimir Putin has arrived in Beijing,,,http://en.kremlin.ru/events/president/trips/46998
395,Russia,Putin,,Italy,,16.10.2014,,Vladimir Putin arrived in Milan to attend the ASEM Summit,,,http://en.kremlin.ru/events/president/trips/46828
396,Russia,Putin,,Serbia,,15.10.2014,,Interview to Politika newspaper,,,http://en.kremlin.ru/events/president/trips/46814
397,Russia,Putin,,Belarus,,10.10.2014,,Commonwealth of Independent States summit,,,http://en.kremlin.ru/events/president/trips/47095
398,Russia,Putin,,Kazakhstan,,30.9.2014,,Meeting with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/46704
399,Russia,Putin,,Tajikistan,,11.9.2014,,Meeting with President of the People’s Republic of China Xi Jinping,,,http://en.kremlin.ru/events/president/trips/46613
400,Russia,Putin,,Mongolia,,3.9.2014,,Working visit to Mongolia,,,http://en.kremlin.ru/events/president/trips/46559
401,Russia,Putin,,Belarus,,26.8.2014,,Speech at the meeting of the Customs Union Heads of State with President of Ukraine and European Union representatives,,,http://en.kremlin.ru/events/president/trips/46498
402,Russia,Putin,,Brazil,,11.7.2014,,Interview to Prensa Latina and ITAR-TASS,,,http://en.kremlin.ru/events/president/trips/46239
403,Russia,Putin,,Argentina,,11.7.2014,,Interview to Prensa Latina and ITAR-TASS,,,http://en.kremlin.ru/events/president/trips/46238
404,Russia,Putin,,Nicaragua,,12.7.2014,,Visit to Nicaragua,,,http://en.kremlin.ru/events/president/trips/46205
405,Russia,Putin,,Cuba,,11.7.2014,,Interview to Prensa Latina and ITAR-TASS,,,http://en.kremlin.ru/events/president/trips/46204
406,Russia,Putin,,Belarus,,2.7.2014,,70th anniversary of the liberation of Belarus from Nazi occupation,,,http://en.kremlin.ru/events/president/trips/46143
407,Russia,Putin,,Austria,,24.6.2014,,Russian-Austrian talks,,,http://en.kremlin.ru/events/president/trips/46066
408,Russia,Putin,,France,,5.6.2014,,Meeting with Prime Minister of the United Kingdom David Cameron,,,http://en.kremlin.ru/events/president/trips/45871
409,Russia,Putin,,Kazakhstan,,29.5.2014,,Treaty on Eurasian Economic Union signed,,,http://en.kremlin.ru/events/president/trips/45794
410,Russia,Putin,,China,,20.5.2014,,Russian-Chinese talks,,,http://en.kremlin.ru/events/president/trips/21062
411,Russia,Putin,,Belarus,,29.4.2014,,Meeting of Supreme Eurasian Economic Council,,,http://en.kremlin.ru/events/president/trips/20881
412,Russia,Putin,,Belgium,,28.1.2014,,Russia-EU Summit,,,http://en.kremlin.ru/events/president/trips/20118
413,Russia,Putin,,Armenia,,2.12.2013,,Vladimir Putin visited the town of Gyumri as part of his state visit to Armenia,,,http://en.kremlin.ru/events/president/trips/19749
414,Russia,Putin,,Vatican City,,25.11.2013,,Visit to the Vatican,,,http://en.kremlin.ru/events/president/trips/19709
415,Russia,Putin,,South Korea,,13.11.2013,,Meeting of the Russian-Korean Business Dialogue,,,http://en.kremlin.ru/events/president/trips/19617
416,Russia,Putin,,Vietnam,,12.11.2013,,Official visit to Vietnam,,,http://en.kremlin.ru/events/president/trips/19608
417,Russia,Putin,,Belarus,,24.10.2013,,Supreme Eurasian Economic Council meeting,,,http://en.kremlin.ru/events/president/trips/19514
418,Russia,Putin,,Indonesia,,7.10.2013,,Meeting with President of Indonesia Susilo Bambang Yudhoyono,,,http://en.kremlin.ru/events/president/trips/19383
419,Russia,Putin,,Azerbaijan,,13.8.2013,,Working visit to Azerbaijan,,,http://en.kremlin.ru/events/president/trips/19032
420,Russia,Putin,,Ukraine,,27.7.2013,,Beginning of meeting with President of Ukraine Viktor Yanukovych,,,http://en.kremlin.ru/events/president/trips/18965
421,Russia,Putin,,Kazakhstan,,7.7.2013,,Visit to Kazakhstan,,,http://en.kremlin.ru/events/president/trips/18720
422,Russia,Putin,,Finland,,25.6.2013,,Meeting with President of Finland Sauli Niinistö,,,http://en.kremlin.ru/events/president/trips/18409
423,Russia,Putin,,United Kingdom,,16.6.2013,,Presentation of awards to Arctic Convoys veterans,,,http://en.kremlin.ru/events/president/trips/18362
424,Russia,Putin,,Kazakhstan,,28.5.2013,,Vladimir Putin arrived in Astana to attend a Supreme Eurasian Economic Council meeting,,,http://en.kremlin.ru/events/president/trips/18218
425,Russia,Putin,,Kyrgyzstan,,28.5.2013,,Meeting with President of Kyrgyzstan Almazbek Atambayev,,,http://en.kremlin.ru/events/president/trips/18209
426,Russia,Putin,,the Netherlands,,8.4.2013,,Launch of the Year of Russia in the Netherlands and Year of the Netherlands in Russia,,,http://en.kremlin.ru/events/president/trips/17852
427,Russia,Putin,,Germany,,7.4.2013,,Vladimir Putin took part in the opening of the annual Hannover Messe,,,http://en.kremlin.ru/events/president/trips/17845
428,Russia,Putin,,South Africa,,21.3.2013,,Vladimir Putin approved Policy Concept on Russia’s participation in BRICS,,,http://en.kremlin.ru/events/president/trips/17757
429,Russia,Putin,,India,,24.12.2012,,Official visit to India,,,http://en.kremlin.ru/events/president/trips/17186
430,Russia,Putin,,Turkmenistan,,5.12.2012,,CIS summit,,,http://en.kremlin.ru/events/president/trips/17072
431,Russia,Putin,,Turkey,,3.12.2012,,Working visit to Turkey,,,http://en.kremlin.ru/events/president/trips/17071
432,Russia,Putin,,Tajikistan,,4.10.2012,,Vladimir Putin arrived in Dushanbe,,,http://en.kremlin.ru/events/president/trips/16603
433,Russia,Putin,,Kazakhstan,,19.9.2012,,Meeting with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/16505
434,Russia,Putin,,Kyrgyzstan,,20.9.2012,,Visit to Kyrgyzstan,,,http://en.kremlin.ru/events/president/trips/16514
435,Russia,Putin,,United Kingdom,,2.8.2012,,Meeting with Prime Minister of the United Kingdom David Cameron,,,http://en.kremlin.ru/events/president/trips/16132
436,Russia,Putin,,Ukraine,,12.7.2012,,Visit to the camp of the Night Wolves Motoclub,,,http://en.kremlin.ru/events/president/trips/15980
437,Russia,Putin,,Jordan,,26.6.2012,,Visit to Jordan,,,http://en.kremlin.ru/events/president/trips/15769
438,Russia,Putin,,Jordan,,26.6.2012,,Visit to Palestine,,,http://en.kremlin.ru/events/president/trips/15767
439,Russia,Putin,,Israel,,25.6.2012,,Unveiling a monument marking the Red Army’s victory over Nazi Germany,,,http://en.kremlin.ru/events/president/trips/15743
440,Russia,Putin,,Mexico,,18.6.2012,,The G20 and global economic challenges,,,http://en.kremlin.ru/events/president/trips/15702
441,Russia,Putin,,Kazakhstan,,7.6.2012,,Official visit to Kazakhstan,,,http://en.kremlin.ru/events/president/trips/15598
442,Russia,Putin,,China,,5.6.2012,,Russia and China: New Horizons for Cooperation,,,http://en.kremlin.ru/events/president/trips/15572
443,Russia,Putin,,Uzbekistan,,4.6.2012,,Visit to Uzbekistan,,,http://en.kremlin.ru/events/president/trips/15551
444,Russia,Putin,,France,,1.6.2012,,Working visit to France,,,http://en.kremlin.ru/events/president/trips/15527
445,Russia,Putin,,Germany,,1.6.2012,,Working visit to Germany,,,http://en.kremlin.ru/events/president/trips/15526
446,Russia,Putin,,Belarus,,1.6.2012,,Official visit to Belarus,,,http://en.kremlin.ru/events/president/trips/15522
447,Russia,Dmitry Medvedev,,India,,28.3.2012,,Meeting with President of South Africa Jacob Zuma,,,http://en.kremlin.ru/events/president/trips/14872
448,Russia,Dmitry Medvedev,,South Korea,,26.3.2012,,Meeting with President of the United States of America Barack Obama,,,http://en.kremlin.ru/events/president/trips/14860
449,Russia,Dmitry Medvedev,,Belgium,,15.12.2011,,Russia-EU Summit,,,http://en.kremlin.ru/events/president/trips/14013
450,Russia,Dmitry Medvedev,,Czechia,,8.12.2011,,Official visit to the Czechia,,,http://en.kremlin.ru/events/president/trips/13923
451,Russia,Dmitry Medvedev,,United States of America,,12.11.2011,,Meeting with President of Peru Ollanta Humala,,,http://en.kremlin.ru/events/president/trips/13515
452,Russia,Dmitry Medvedev,,Germany,,8.11.2011,,Meeting with President of the Federal Republic of Germany Christian Wulff,,,http://en.kremlin.ru/events/president/trips/13436
453,Russia,Dmitry Medvedev,,France,,3.11.2011,,BRICS Summit,,,http://en.kremlin.ru/events/president/trips/13331
454,Russia,Dmitry Medvedev,,Ukraine,,18.10.2011,,Second Russian-Ukrainian Interregional Economic Forum,,,http://en.kremlin.ru/events/president/trips/13104
455,Russia,Dmitry Medvedev,,Tajikistan,,2.9.2011,,"Meeting of the Presidents of Russia, Afghanistan, Pakistan, and Tajikistan",,,http://en.kremlin.ru/events/president/trips/12556
456,Russia,Dmitry Medvedev,,Kazakhstan,,12.8.2011,,Informal CSTO summit,,,http://en.kremlin.ru/events/president/trips/12376
457,Russia,Dmitry Medvedev,,Germany,,18.7.2011,,Dmitry Medvedev arrived in Hannover,,,http://en.kremlin.ru/events/president/trips/12025
458,Russia,Dmitry Medvedev,,Kazakhstan,,14.6.2011,,Dmitry Medvedev arrived in Astana for SCO summit,,,http://en.kremlin.ru/events/president/trips/11581
459,Russia,Dmitry Medvedev,,Uzbekistan,,14.6.2011,,Visit to Uzbekistan,,,http://en.kremlin.ru/events/president/trips/11565
460,Russia,Dmitry Medvedev,,Italy,,1.6.2011,,Dmitry Medvedev arrived in Italy for a two-day visit,,,http://en.kremlin.ru/events/president/trips/11439
461,Russia,Dmitry Medvedev,,France,,26.5.2011,,G8 Summit has begun in Deauville,,,http://en.kremlin.ru/events/president/trips/11373
462,Russia,Dmitry Medvedev,,Ukraine,,26.4.2011,,Memorial events in Chernobyl,,,http://en.kremlin.ru/events/president/trips/11096
463,Russia,Dmitry Medvedev,,China,,13.4.2011,,Dmitry Medvedev arrived in China to take part in the BRICS summit and the Boao Forum for Asia,,,http://en.kremlin.ru/events/president/trips/10949
464,Russia,Dmitry Medvedev,,Italy,,16.2.2011,,Greetings to Russian-Italian Student Forum in Rome,,,http://en.kremlin.ru/events/president/trips/10381
465,Russia,Dmitry Medvedev,,Switzerland,,26.1.2011,,Meeting with International Business Council,,,http://en.kremlin.ru/events/president/trips/10164
466,Russia,Dmitry Medvedev,,Jordan,,19.1.2011,,Visit to Jordan,,,http://en.kremlin.ru/events/president/trips/10100
467,Russia,Dmitry Medvedev,,Palestine,,18.1.2011,,Visit to Palestine,,,http://en.kremlin.ru/events/president/trips/10108
468,Russia,Dmitry Medvedev,,India,,21.12.2010,,Official visit to India,,,http://en.kremlin.ru/events/president/trips/9869
469,Russia,Dmitry Medvedev,,Belgium,,8.12.2010,,Visit to Belgium,,,http://en.kremlin.ru/events/president/trips/9741
470,Russia,Dmitry Medvedev,,Belgium,,7.12.2010,,EU-Russia summit held in Brussels,,,http://en.kremlin.ru/events/president/trips/9732
471,Russia,Dmitry Medvedev,,Poland,,6.12.2010,,Interview to Polish media,,,http://en.kremlin.ru/events/president/trips/9728
472,Russia,Dmitry Medvedev,,Portugal,,20.11.2010,,Meeting of the NATO-Russia Council,,,http://en.kremlin.ru/events/president/trips/9571
473,Russia,Dmitry Medvedev,,Azerbaijan,,18.11.2010,,Meeting with President of Azerbaijan Ilham Aliyev,,,http://en.kremlin.ru/events/president/trips/9553
474,Russia,Dmitry Medvedev,,Japan,,13.11.2010,,First day of the APEC Leaders' Meeting,,,http://en.kremlin.ru/events/president/trips/9506
475,Russia,Dmitry Medvedev,,South Korea,,11.11.2010,,G20 Business Summit,,,http://en.kremlin.ru/events/president/trips/9490
476,Russia,Dmitry Medvedev,,South Korea,,10.11.2010,,Speech at the third meeting of the Korea-Russia forum,,,http://en.kremlin.ru/events/president/trips/9479
477,Russia,Dmitry Medvedev,,Vietnam,,30.10.2010,,Russia and Vietnam – Towards New Horizons of Cooperation,,,http://en.kremlin.ru/events/president/trips/9387
478,Russia,Dmitry Medvedev,,Turkmenistan,,22.10.2010,,Russian-Turkmenistani talks,,,http://en.kremlin.ru/events/president/trips/9319
479,Russia,Dmitry Medvedev,,France,,18.10.2010,,Dmitry Medvedev arrived in Deauville to participate in Russian-German-French summit,,,http://en.kremlin.ru/events/president/trips/9314
480,Russia,Dmitry Medvedev,,Cyprus,,7.10.2010,,Dmitry Medvedev addressed readers of Cypriot newspaper Phileleftheros,,,http://en.kremlin.ru/events/president/trips/9189
481,Russia,Dmitry Medvedev,,Algeria,,6.10.2010,,Official visit to Algeria,,,http://en.kremlin.ru/events/president/trips/9167
482,Russia,Dmitry Medvedev,,China,,26.9.2010,,Interview to Renmin Ribao,,,http://en.kremlin.ru/events/president/trips/9071
483,Russia,Dmitry Medvedev,,Kazakhstan,,7.9.2010,,Dmitry Medvedev and Nursultan Nazarbayev visited Russia-Kazakhstan Exhibition of Innovation Technology,,,http://en.kremlin.ru/events/president/trips/8845
484,Russia,Dmitry Medvedev,,Azerbaijan,,2.9.2010,,Dmitry Medvedev arrived in Baku on an official visit,,,http://en.kremlin.ru/events/president/trips/8823
485,Russia,Dmitry Medvedev,,Armenia,,19.8.2010,,Dmitry Medvedev arrived in Armenia on a state visit,,,http://en.kremlin.ru/events/president/trips/8705
486,Russia,Dmitry Medvedev,,Italy,,23.7.2010,,Russian-Italian talks,,,http://en.kremlin.ru/events/president/trips/8427
487,Russia,Dmitry Medvedev,,Finland,,20.7.2010,,Meeting with President of Finland Tarja Halonen,,,http://en.kremlin.ru/events/president/trips/8397
488,Russia,Dmitry Medvedev,,Kazakhstan,,5.7.2010,,"Statement on entry into force of the customs code of the Customs Union between Russia, Belarus and Kazakhstan",,,http://en.kremlin.ru/events/president/trips/8279
489,Russia,Dmitry Medvedev,,Canada,,27.6.2010,,Meeting with President of the China Hu Jintao,,,http://en.kremlin.ru/events/president/trips/8183
490,Russia,Dmitry Medvedev,,Canada,,26.6.2010,,First day of G8 summit drew to a close,,,http://en.kremlin.ru/events/president/trips/8175
491,Russia,Dmitry Medvedev,,United States of America,,18.6.2010,,Interview to the Wall Street Journal,,,http://en.kremlin.ru/events/president/trips/8166
492,Russia,Dmitry Medvedev,,Uzbekistan,,10.6.2010,,Meeting with President of Uzbekistan Islam Karimov,,,http://en.kremlin.ru/events/president/trips/8022
493,Russia,Dmitry Medvedev,,Germany,,4.6.2010,,Dmitry Medvedev arrived to Germany on a working visit,,,http://en.kremlin.ru/events/president/trips/7974
494,Russia,Dmitry Medvedev,,Ukraine,,17.5.2010,,Russian-Ukrainian summit talks,,,http://en.kremlin.ru/events/president/trips/7787
495,Russia,Dmitry Medvedev,,Turkey,,11.5.2010,,Dmitry Medvedev arrived in Turkey on an official visit,,,http://en.kremlin.ru/events/president/trips/7731
496,Russia,Dmitry Medvedev,,Syria,,10.5.2010,,Dmitry Medvedev arrived in Syria on an official visit,,,http://en.kremlin.ru/events/president/trips/7712
497,Russia,Dmitry Medvedev,,Denmark,,26.4.2010,,"Interview to Steffen Kretz, Danish Broadcasting Corporation’s Senior International Editor and Anchor of TV News and Current Affairs Programme",,,http://en.kremlin.ru/events/president/trips/7573
498,Russia,Dmitry Medvedev,,Norway,,26.4.2010,,Dmitry Medvedev's two-day state visit to Norway has begun,,,http://en.kremlin.ru/events/president/trips/7564
499,Russia,Dmitry Medvedev,,Ukraine,,21.4.2010,,Dmitry Medvedev met with President of Ukraine Viktor Yanukovych,,,http://en.kremlin.ru/events/president/trips/7520
500,Russia,Dmitry Medvedev,,Poland,,18.4.2010,,Dmitry Medvedev met with Marshal of the Sejm of Poland Bronislaw Komorowski,,,http://en.kremlin.ru/events/president/trips/10779
501,Russia,Dmitry Medvedev,,Brazil,,16.4.2010,,Dmitry Medvedev met with President of the China Hu Jintao,,,http://en.kremlin.ru/events/president/trips/7482
502,Russia,Dmitry Medvedev,,Argentina,,15.4.2010,,Dmitry Medvedev met with Russian and Argentine business community members,,,http://en.kremlin.ru/events/president/trips/7463
503,Russia,Dmitry Medvedev,,United States of America,,13.4.2010,,Dmitry Medvedev met with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/7457
504,Russia,Dmitry Medvedev,,Czechia,,7.4.2010,,Dmitry Medvedev met with President of Czechia Vaclav Klaus,,,http://en.kremlin.ru/events/president/trips/7402
505,Russia,Dmitry Medvedev,,Slovakia,,6.4.2010,,Mission: Partnership,,,http://en.kremlin.ru/events/president/trips/7383
506,Russia,Dmitry Medvedev,,France,,1.3.2010,,Russian-French summit talks took place during Dmitry Medvedev's state visit to France,,,http://en.kremlin.ru/events/president/trips/7012
507,Russia,Dmitry Medvedev,,Turkmenistan,,22.12.2009,,Talks were held between President of Russia Dmitry Medvedev and President of Turkmenistan Gurbanguly Berdimuhamedov,,,http://en.kremlin.ru/events/president/trips/6432
508,Russia,Dmitry Medvedev,,Kazakhstan,,19.12.2009,,"Informal meeting of the presidents of Russia, Belarus, Kazakhstan, Armenia, Kyrgyzstan, Tajikistan and Turkmenistan has taken place",,,http://en.kremlin.ru/events/president/trips/6407
509,Russia,Dmitry Medvedev,,Denmark,,18.12.2009,,Dmitry Medvedev met with Prime Minister of Lebanon Saad Hariri,,,http://en.kremlin.ru/events/president/trips/6398
,,Dmitry Medvedev,,Vatican City,,3.12.2009,,Visit to Italy and Vatican,,,http://en.kremlin.ru/events/president/trips/6246
510,Russia,Dmitry Medvedev,,Italy,,3.12.2009,,Russian-Italian interstate consultations took place,,,http://en.kremlin.ru/events/president/trips/6246
511,Russia,Dmitry Medvedev,,Belarus,,27.11.2009,,Dmitry Medvedev took part in the summit meeting of the Eurasian Economic Community Interstate Council and meeting of the Interstate Council in its capacity as highest body of the Customs Union,,,http://en.kremlin.ru/events/president/trips/6154
512,Russia,Dmitry Medvedev,,Sweden,,18.11.2009,,Dmitry Medvedev met with Swedish Prime Minister Fredrik Reinfeldt,,,http://en.kremlin.ru/events/president/trips/6047
513,Russia,Dmitry Medvedev,,Singapore,,14.11.2009,,Dmitry Medvedev spoke at APEC CEO Summit in Singapore,,,http://en.kremlin.ru/events/president/trips/6014
514,Russia,Dmitry Medvedev,,Germany,,9.11.2009,,Dmitry Medvedev met with President of France Nicolas Sarkozy,,,http://en.kremlin.ru/events/president/trips/5960
515,Russia,Dmitry Medvedev,,Serbia,,20.10.2009,,Dmitry Medvedev held talks with President of Serbia Boris Tadic,,,http://en.kremlin.ru/events/president/trips/5789
